"","tf","n","dist","avg","low","high","group"
"X0","ALB1",327230,1,-0.128587721679567,-0.12924247785465,-0.127932965504484,"21"
"X1","ALB1",327230,2,-0.12790392645198,-0.128574205772705,-0.127233647131254,"21"
"X2","ALB1",327230,3,-0.14445847715947,-0.145145744064041,-0.143771210254898,"21"
"X3","ALB1",327230,4,-0.138132059715412,-0.138877255014032,-0.137386864416791,"21"
"X4","ALB1",327230,5,-0.142888296529835,-0.143671425347044,-0.142105167712625,"21"
"X5","ALB1",327230,6,-0.148082615070943,-0.148860634434701,-0.147304595707185,"21"
"X6","ALB1",327230,7,-0.138757821461868,-0.139573770453503,-0.137941872470233,"21"
"X7","ALB1",327230,8,-0.134163309947278,-0.134998340470366,-0.13332827942419,"21"
"X8","ALB1",327230,9,-0.147091740643303,-0.14789959292865,-0.146283888357957,"21"
"X9","ALB1",327230,10,-0.144484279709801,-0.145307630867657,-0.143660928551945,"21"
"X10","ALB1",327230,11,-0.137178685804568,-0.138014813615903,-0.136342557993232,"21"
"X11","ALB1",327230,12,-0.157291339752777,-0.158135468263041,-0.156447211242514,"21"
"X12","ALB1",327230,13,-0.152254658679689,-0.153145862782309,-0.151363454577069,"21"
"X13","ALB1",327230,14,-0.169425330244903,-0.170289816376035,-0.16856084411377,"21"
"X14","ALB1",327230,15,-0.173139871056691,-0.1740153929575,-0.172264349155882,"21"
"X15","ALB1",327230,16,-0.199479544088014,-0.200334717501081,-0.198624370674946,"21"
"X16","ALB1",327230,17,-0.183277427718521,-0.184139247682218,-0.182415607754825,"21"
"X17","ALB1",327230,18,-0.200017479013721,-0.200871380400469,-0.199163577626973,"21"
"X18","ALB1",327230,19,-0.216150543443547,-0.216980125011375,-0.215320961875719,"21"
"X19","ALB1",327230,20,-0.233357925396387,-0.234123909243946,-0.232591941548829,"21"
"X20","ALB1",327230,21,-0.217716959958978,-0.218459814049806,-0.216974105868151,"21"
"X21","ALB1",327230,22,-0.233510564961572,-0.234219413228964,-0.232801716694179,"21"
"X22","ALB1",327230,23,-0.212612039347244,-0.213350141929471,-0.211873936765017,"21"
"X23","ALB1",327230,24,-0.172070319349257,-0.172862415986372,-0.171278222712142,"21"
"X24","ALB1",327230,25,-0.151473708597912,-0.152288941756648,-0.150658475439175,"21"
"X25","ALB1",327230,26,-0.139975505895244,-0.140798593432677,-0.139152418357811,"21"
"X26","ALB1",327230,27,-0.130843016234796,-0.131636272210332,-0.130049760259261,"21"
"X27","ALB1",327230,28,-0.0855618463124186,-0.0863812671253024,-0.0847424254995349,"21"
