"tf","n","dist","avg","low","high","group"
"CEBPB",257571,1,-0.203758321632275,-0.204870920810283,-0.202645722454266,"CEBPB-unbound (n=257571)"
"CEBPB",257571,2,-0.200947097066457,-0.202060691324476,-0.199833502808438,"CEBPB-unbound (n=257571)"
"CEBPB",257571,3,-0.198026224447016,-0.199141124410155,-0.196911324483877,"CEBPB-unbound (n=257571)"
"CEBPB",257571,4,-0.194793156785093,-0.19590972958798,-0.193676583982206,"CEBPB-unbound (n=257571)"
"CEBPB",257571,5,-0.191660039558015,-0.192778028135098,-0.190542050980931,"CEBPB-unbound (n=257571)"
"CEBPB",257571,6,-0.188525832304933,-0.189644681767058,-0.187406982842808,"CEBPB-unbound (n=257571)"
"CEBPB",257571,7,-0.185339673485852,-0.18645867112082,-0.184220675850884,"CEBPB-unbound (n=257571)"
"CEBPB",257571,8,-0.182426012804239,-0.183546015782602,-0.181306009825875,"CEBPB-unbound (n=257571)"
"CEBPB",257571,9,-0.1797744326092,-0.180894335578129,-0.178654529640271,"CEBPB-unbound (n=257571)"
"CEBPB",257571,10,-0.177046384059876,-0.178167135598754,-0.175925632520999,"CEBPB-unbound (n=257571)"
"CEBPB",257571,11,-0.174534511982273,-0.175656200707984,-0.173412823256562,"CEBPB-unbound (n=257571)"
"CEBPB",257571,12,-0.171960874739022,-0.173083558744917,-0.170838190733127,"CEBPB-unbound (n=257571)"
"CEBPB",257571,13,-0.169428297084989,-0.170552417153721,-0.168304177016256,"CEBPB-unbound (n=257571)"
"CEBPB",257571,14,-0.167131842818408,-0.168256454554146,-0.166007231082671,"CEBPB-unbound (n=257571)"
"CEBPB",257571,15,-0.165134195449911,-0.166260754591554,-0.164007636308268,"CEBPB-unbound (n=257571)"
"CEBPB",257571,16,-0.163362793615922,-0.164491093138351,-0.162234494093494,"CEBPB-unbound (n=257571)"
"CEBPB",257571,17,-0.16158405554977,-0.162713974884486,-0.160454136215054,"CEBPB-unbound (n=257571)"
"CEBPB",257571,18,-0.160019445006908,-0.161151218782155,-0.158887671231661,"CEBPB-unbound (n=257571)"
