"tf","n","dist","avg","low","high","group"
"CEBPB",11567,1,-0.219938399204203,-0.224543126007039,-0.215333672401368,"CEBPB-bound (n=11567)"
"CEBPB",11567,2,-0.217263866665097,-0.221891986074106,-0.212635747256088,"CEBPB-bound (n=11567)"
"CEBPB",11567,3,-0.214257533702502,-0.218905257707096,-0.209609809697907,"CEBPB-bound (n=11567)"
"CEBPB",11567,4,-0.211444937881002,-0.216117297844587,-0.206772577917416,"CEBPB-bound (n=11567)"
"CEBPB",11567,5,-0.208797699497927,-0.213495969854152,-0.204099429141702,"CEBPB-bound (n=11567)"
"CEBPB",11567,6,-0.205748199682722,-0.2104701620866,-0.201026237278843,"CEBPB-bound (n=11567)"
"CEBPB",11567,7,-0.203035498770856,-0.207777328255161,-0.198293669286552,"CEBPB-bound (n=11567)"
"CEBPB",11567,8,-0.199907352381372,-0.204664307903093,-0.195150396859652,"CEBPB-bound (n=11567)"
"CEBPB",11567,9,-0.197232164140947,-0.202020926568816,-0.192443401713079,"CEBPB-bound (n=11567)"
"CEBPB",11567,10,-0.195111890274735,-0.199922830100076,-0.190300950449395,"CEBPB-bound (n=11567)"
"CEBPB",11567,11,-0.192270739189576,-0.197107599297396,-0.187433879081755,"CEBPB-bound (n=11567)"
"CEBPB",11567,12,-0.189820367412049,-0.194690644169019,-0.184950090655079,"CEBPB-bound (n=11567)"
"CEBPB",11567,13,-0.188030922309414,-0.192926222093055,-0.183135622525773,"CEBPB-bound (n=11567)"
"CEBPB",11567,14,-0.185882170126126,-0.190802937396286,-0.180961402855965,"CEBPB-bound (n=11567)"
"CEBPB",11567,15,-0.184147428871083,-0.189098981970613,-0.179195875771554,"CEBPB-bound (n=11567)"
"CEBPB",11567,16,-0.182685170530552,-0.187658623169776,-0.177711717891327,"CEBPB-bound (n=11567)"
"CEBPB",11567,17,-0.181184793246562,-0.186188936736491,-0.176180649756632,"CEBPB-bound (n=11567)"
"CEBPB",11567,18,-0.180125139454079,-0.185134208306495,-0.175116070601663,"CEBPB-bound (n=11567)"
"CEBPB",11567,19,-0.178884399884641,-0.183910600340396,-0.173858199428885,"CEBPB-bound (n=11567)"
"CEBPB",11567,20,-0.177640371498042,-0.182693950822864,-0.17258679217322,"CEBPB-bound (n=11567)"
"CEBPB",11567,21,-0.176431636430543,-0.181505076186537,-0.171358196674549,"CEBPB-bound (n=11567)"
"CEBPB",11567,22,-0.175407477848284,-0.180506310425466,-0.170308645271103,"CEBPB-bound (n=11567)"
"CEBPB",11567,23,-0.175184531961923,-0.180301104061851,-0.170067959861996,"CEBPB-bound (n=11567)"
"CEBPB",11567,24,-0.175436309267885,-0.180582762623758,-0.170289855912011,"CEBPB-bound (n=11567)"
"CEBPB",11567,25,-0.175232222183116,-0.180414772649573,-0.170049671716659,"CEBPB-bound (n=11567)"
"CEBPB",11567,26,-0.175860577389366,-0.181074078993103,-0.17064707578563,"CEBPB-bound (n=11567)"
"CEBPB",11567,27,-0.175722325661646,-0.180959355900259,-0.170485295423033,"CEBPB-bound (n=11567)"
"CEBPB",11567,28,-0.176061386039316,-0.181327055456382,-0.17079571662225,"CEBPB-bound (n=11567)"
"CEBPB",11567,29,-0.176137593905779,-0.181432697931884,-0.170842489879674,"CEBPB-bound (n=11567)"
"CEBPB",11567,30,-0.176070963967541,-0.18139303777668,-0.170748890158403,"CEBPB-bound (n=11567)"
"CEBPB",11567,31,-0.176305254384665,-0.181655239478167,-0.170955269291164,"CEBPB-bound (n=11567)"
"CEBPB",11567,32,-0.176520450173461,-0.181900802896546,-0.171140097450375,"CEBPB-bound (n=11567)"
"CEBPB",11567,33,-0.176442489935825,-0.181846678082386,-0.171038301789264,"CEBPB-bound (n=11567)"
"CEBPB",11567,34,-0.176434767479881,-0.181842629257235,-0.171026905702527,"CEBPB-bound (n=11567)"
"CEBPB",11567,35,-0.176061253217565,-0.18146899006072,-0.17065351637441,"CEBPB-bound (n=11567)"
"CEBPB",11567,36,-0.175029289785413,-0.180452724714659,-0.169605854856168,"CEBPB-bound (n=11567)"
"CEBPB",11567,37,-0.175004582624747,-0.180426401434334,-0.16958276381516,"CEBPB-bound (n=11567)"
"CEBPB",11567,38,-0.174168398194829,-0.179597631502577,-0.168739164887081,"CEBPB-bound (n=11567)"
"CEBPB",11567,39,-0.173643829124438,-0.179077160215472,-0.168210498033403,"CEBPB-bound (n=11567)"
"CEBPB",11567,40,-0.172598527947459,-0.178042577712745,-0.167154478182173,"CEBPB-bound (n=11567)"
"CEBPB",11567,41,-0.171284906206299,-0.176724898175717,-0.165844914236881,"CEBPB-bound (n=11567)"
"CEBPB",11567,42,-0.169606994464294,-0.175038224392363,-0.164175764536225,"CEBPB-bound (n=11567)"
"CEBPB",11567,43,-0.168682663872985,-0.174112941615007,-0.163252386130962,"CEBPB-bound (n=11567)"
"CEBPB",11567,44,-0.167262131945184,-0.17270332471686,-0.161820939173508,"CEBPB-bound (n=11567)"
"CEBPB",11567,45,-0.165914131892936,-0.171370409351704,-0.160457854434168,"CEBPB-bound (n=11567)"
"CEBPB",11567,46,-0.164813831252725,-0.170263651501707,-0.159364011003744,"CEBPB-bound (n=11567)"
"CEBPB",11567,47,-0.164045692505987,-0.169513337638834,-0.158578047373139,"CEBPB-bound (n=11567)"
"CEBPB",11567,48,-0.163683393853543,-0.169146324238236,-0.15822046346885,"CEBPB-bound (n=11567)"
"CEBPB",11567,49,-0.162445443843423,-0.167895118203978,-0.156995769482869,"CEBPB-bound (n=11567)"
"CEBPB",11567,50,-0.161462468085606,-0.166903638670064,-0.156021297501149,"CEBPB-bound (n=11567)"
"CEBPB",11567,51,-0.160590266993806,-0.166022695784592,-0.155157838203019,"CEBPB-bound (n=11567)"
"CEBPB",11567,52,-0.160035040994839,-0.165449311064939,-0.15462077092474,"CEBPB-bound (n=11567)"
"CEBPB",11567,53,-0.159611468537514,-0.165021422018037,-0.154201515056992,"CEBPB-bound (n=11567)"
"CEBPB",11567,54,-0.159726730104258,-0.165115230243091,-0.154338229965425,"CEBPB-bound (n=11567)"
"CEBPB",11567,55,-0.158788845433043,-0.1641617300473,-0.153415960818787,"CEBPB-bound (n=11567)"
"CEBPB",11567,56,-0.158129571037353,-0.163482545057618,-0.152776597017087,"CEBPB-bound (n=11567)"
"CEBPB",11567,57,-0.157266981961104,-0.16260777993461,-0.151926183987598,"CEBPB-bound (n=11567)"
"CEBPB",11567,58,-0.15595262577826,-0.161293567298285,-0.150611684258235,"CEBPB-bound (n=11567)"
"CEBPB",11567,59,-0.154813153915846,-0.160141093004496,-0.149485214827196,"CEBPB-bound (n=11567)"
"CEBPB",11567,60,-0.153795891675851,-0.15911117023456,-0.148480613117142,"CEBPB-bound (n=11567)"
"CEBPB",11567,61,-0.15330689809879,-0.158608850010878,-0.148004946186702,"CEBPB-bound (n=11567)"
"CEBPB",11567,62,-0.152798755044783,-0.158083817916114,-0.147513692173453,"CEBPB-bound (n=11567)"
"CEBPB",11567,63,-0.151901571755577,-0.157179406966484,-0.146623736544671,"CEBPB-bound (n=11567)"
"CEBPB",11567,64,-0.151057653845706,-0.156322804121941,-0.145792503569471,"CEBPB-bound (n=11567)"
"CEBPB",11567,65,-0.149527953331106,-0.154775627573143,-0.144280279089068,"CEBPB-bound (n=11567)"
"CEBPB",11567,66,-0.14849641328153,-0.153720139378342,-0.143272687184718,"CEBPB-bound (n=11567)"
"CEBPB",11567,67,-0.147724748719792,-0.152935428883666,-0.142514068555918,"CEBPB-bound (n=11567)"
"CEBPB",11567,68,-0.146876661891489,-0.152077513999498,-0.141675809783479,"CEBPB-bound (n=11567)"
"CEBPB",11567,69,-0.146005743911269,-0.151191609458426,-0.140819878364112,"CEBPB-bound (n=11567)"
"CEBPB",11567,70,-0.144805920403364,-0.14998705828111,-0.139624782525619,"CEBPB-bound (n=11567)"
"CEBPB",11567,71,-0.143659046314699,-0.148843305709509,-0.138474786919888,"CEBPB-bound (n=11567)"
"CEBPB",11567,72,-0.142846291090151,-0.148036642956769,-0.137655939223533,"CEBPB-bound (n=11567)"
"CEBPB",11567,73,-0.141945721090874,-0.1471283488321,-0.136763093349649,"CEBPB-bound (n=11567)"
"CEBPB",11567,74,-0.141114382450731,-0.146291223260501,-0.13593754164096,"CEBPB-bound (n=11567)"
"CEBPB",11567,75,-0.140395370550422,-0.145576782772603,-0.135213958328241,"CEBPB-bound (n=11567)"
"CEBPB",11567,76,-0.139916334658074,-0.145096174052696,-0.134736495263452,"CEBPB-bound (n=11567)"
"CEBPB",11567,77,-0.140009736219888,-0.145188817756544,-0.134830654683231,"CEBPB-bound (n=11567)"
"CEBPB",11567,78,-0.139767748736399,-0.144944360725922,-0.134591136746876,"CEBPB-bound (n=11567)"
"CEBPB",11567,79,-0.139457988536585,-0.144635810685355,-0.134280166387816,"CEBPB-bound (n=11567)"
"CEBPB",11567,80,-0.139333864241445,-0.144517406072052,-0.134150322410838,"CEBPB-bound (n=11567)"
"CEBPB",11567,81,-0.13907495608439,-0.144261442249047,-0.133888469919733,"CEBPB-bound (n=11567)"
"CEBPB",11567,82,-0.138720903825587,-0.143927858453449,-0.133513949197724,"CEBPB-bound (n=11567)"
"CEBPB",11567,83,-0.138461981924613,-0.143680532085518,-0.133243431763708,"CEBPB-bound (n=11567)"
"CEBPB",11567,84,-0.13842020033322,-0.143644699851961,-0.13319570081448,"CEBPB-bound (n=11567)"
"CEBPB",11567,85,-0.138844580719048,-0.144074222483767,-0.13361493895433,"CEBPB-bound (n=11567)"
"CEBPB",11567,86,-0.138758261653247,-0.143998891908186,-0.133517631398308,"CEBPB-bound (n=11567)"
"CEBPB",11567,87,-0.139309842710176,-0.144555007654182,-0.134064677766171,"CEBPB-bound (n=11567)"
"CEBPB",11567,88,-0.139658554151199,-0.144908512645557,-0.134408595656841,"CEBPB-bound (n=11567)"
"CEBPB",11567,89,-0.140264411494704,-0.145522115777105,-0.135006707212303,"CEBPB-bound (n=11567)"
"CEBPB",11567,90,-0.14138337454215,-0.146645387891828,-0.136121361192472,"CEBPB-bound (n=11567)"
"CEBPB",11567,91,-0.142307704333119,-0.147572941821346,-0.137042466844892,"CEBPB-bound (n=11567)"
