"","tf","n","dist","avg","low","high","group"
"X0","ALB1",312075,1,-0.133116009558411,-0.133948596573591,-0.132283422543232,"18"
"X1","ALB1",312075,2,-0.163959934447008,-0.164730476932306,-0.163189391961711,"18"
"X2","ALB1",312075,3,-0.18200545403237,-0.182768912086268,-0.181241995978472,"18"
"X3","ALB1",312075,4,-0.226074722427568,-0.226773720842381,-0.225375724012755,"18"
"X4","ALB1",312075,5,-0.239550291668111,-0.240216519112826,-0.238884064223397,"18"
"X5","ALB1",312075,6,-0.244507989687776,-0.245153076119351,-0.243862903256201,"18"
"X6","ALB1",312075,7,-0.231316220490779,-0.23195399491155,-0.230678446070008,"18"
"X7","ALB1",312075,8,-0.219911376685094,-0.220572689548931,-0.219250063821258,"18"
"X8","ALB1",312075,9,-0.237660312262649,-0.238296970284379,-0.237023654240919,"18"
"X9","ALB1",312075,10,-0.240136696732304,-0.240771879153642,-0.239501514310966,"18"
"X10","ALB1",312075,11,-0.242042890662856,-0.242701475323969,-0.241384306001743,"18"
"X11","ALB1",312075,12,-0.25482732071691,-0.255488170840827,-0.254166470592993,"18"
"X12","ALB1",312075,13,-0.266816981009547,-0.267409227578803,-0.266224734440291,"18"
"X13","ALB1",312075,14,-0.272547084473932,-0.273132328023098,-0.271961840924766,"18"
"X14","ALB1",312075,15,-0.291081880609058,-0.291633814513419,-0.290529946704696,"18"
"X15","ALB1",312075,16,-0.311987669574848,-0.312512513029843,-0.311462826119854,"18"
"X16","ALB1",312075,17,-0.317266674788942,-0.317771946197046,-0.316761403380839,"18"
"X17","ALB1",312075,18,-0.307001891353938,-0.307508538573568,-0.306495244134308,"18"
"X18","ALB1",312075,19,-0.300087884025535,-0.300566560829672,-0.299609207221398,"18"
"X19","ALB1",312075,20,-0.321287824175016,-0.321730441110801,-0.32084520723923,"18"
"X20","ALB1",312075,21,-0.281365050502453,-0.28180699996248,-0.280923101042425,"18"
"X21","ALB1",312075,22,-0.290185842676903,-0.290595263526187,-0.289776421827618,"18"
"X22","ALB1",312075,23,-0.287876209890891,-0.288258412716216,-0.287494007065565,"18"
"X23","ALB1",312075,24,-0.304081993820956,-0.304427951385452,-0.303736036256459,"18"
"X24","ALB1",312075,25,-0.307094999308772,-0.307430821326934,-0.30675917729061,"18"
"X25","ALB1",312075,26,-0.295246512708464,-0.295553736555158,-0.294939288861771,"18"
"X26","ALB1",312075,27,-0.289652186071904,-0.2899362359778,-0.289368136166007,"18"
"X27","ALB1",312075,28,-0.283857629188931,-0.284131857427671,-0.283583400950192,"18"
"X28","ALB1",312075,29,-0.29765694533052,-0.297903051421682,-0.297410839239357,"18"
"X29","ALB1",312075,30,-0.307515426387467,-0.307725014857461,-0.307305837917473,"18"
"X30","ALB1",312075,31,-0.287891995211939,-0.288084493180175,-0.287699497243703,"18"
"X31","ALB1",312075,32,-0.294413350893212,-0.294607911147259,-0.294218790639165,"18"
"X32","ALB1",312075,33,-0.291033342510069,-0.291198962707765,-0.290867722312372,"18"
"X33","ALB1",312075,34,-0.291503535327138,-0.29166603852277,-0.291341032131507,"18"
"X34","ALB1",312075,35,-0.280843913013258,-0.280986496094158,-0.280701329932358,"18"
"X35","ALB1",312075,36,-0.27161925360111,-0.271760360877514,-0.271478146324705,"18"
"X36","ALB1",312075,37,-0.251703901004256,-0.25182511550304,-0.251582686505471,"18"
"X37","ALB1",312075,38,-0.249315510786775,-0.24942367614641,-0.24920734542714,"18"
"X38","ALB1",312075,39,-0.251889072094737,-0.2519957584784,-0.251782385711074,"18"
"X39","ALB1",312075,40,-0.242910892791386,-0.243021893282614,-0.242799892300158,"18"
"X40","ALB1",312075,41,-0.209372977013272,-0.209484336298381,-0.209261617728164,"18"
"X41","ALB1",312075,42,-0.1527054012871,-0.152830787073495,-0.152580015500705,"18"
"X42","ALB1",312075,43,-0.140529279238216,-0.140655197921659,-0.140403360554772,"18"
"X43","ALB1",312075,44,-0.0684794720890644,-0.0686239352186564,-0.0683350089594725,"18"
"X44","ALB1",312075,45,-0.0771478761362281,-0.0772907579098487,-0.0770049943626075,"18"
