"","tf","n","dist","avg","low","high","group"
"X0","CDX1",13074,1,-0.1285142400209,-0.133635909213338,-0.123392570828462,"NCAP-SELEX"
"X1","CDX1",13074,2,-0.14209448323426,-0.147104662124081,-0.137084304344438,"NCAP-SELEX"
"X2","CDX1",13074,3,-0.145465635115054,-0.15049245928437,-0.140438810945738,"NCAP-SELEX"
"X3","CDX1",13074,4,-0.1524566912939,-0.157210265585071,-0.147703117002729,"NCAP-SELEX"
"X4","CDX1",13074,5,-0.155360985781088,-0.160171751205741,-0.150550220356434,"NCAP-SELEX"
"X5","CDX1",13074,6,-0.135340704774683,-0.140130404963185,-0.130551004586181,"NCAP-SELEX"
"X6","CDX1",13074,7,-0.129467846386611,-0.134244612087285,-0.124691080685937,"NCAP-SELEX"
"X7","CDX1",13074,8,-0.110894919861138,-0.115809977005404,-0.105979862716872,"NCAP-SELEX"
"X8","CDX1",13074,9,-0.0969138285011023,-0.101928368422287,-0.0918992885799177,"NCAP-SELEX"
"X9","CDX1",13074,10,-0.0913255757819541,-0.096382189728063,-0.0862689618358452,"NCAP-SELEX"
"X10","CDX1",13074,11,-0.107229201492647,-0.112219273866955,-0.102239129118338,"NCAP-SELEX"
"X11","CDX1",13074,12,-0.107725813547594,-0.112795578234879,-0.102656048860308,"NCAP-SELEX"
"X12","CDX1",13074,13,-0.11050821290913,-0.115626001416863,-0.105390424401398,"NCAP-SELEX"
"X13","CDX1",13074,14,-0.114141391933085,-0.119270884109527,-0.109011899756644,"NCAP-SELEX"
"X14","CDX1",13074,15,-0.103307908166434,-0.10854770138218,-0.0980681149506872,"NCAP-SELEX"
"X15","CDX1",13074,16,-0.0833721127517762,-0.0887554256237447,-0.0779887998798076,"NCAP-SELEX"
"X16","CDX1",13074,17,-0.0753212918886091,-0.0807361089549195,-0.0699064748222988,"NCAP-SELEX"
"X17","CDX1",13074,18,-0.062535836301262,-0.0680052141110591,-0.057066458491465,"NCAP-SELEX"
"X18","CDX1",13074,19,-0.0485708340828822,-0.0541069512907577,-0.0430347168750067,"NCAP-SELEX"
"X19","CDX1",13074,20,-0.0450494180638774,-0.0505991909704725,-0.0394996451572823,"NCAP-SELEX"
"X20","CDX1",13074,21,-0.0384778215790615,-0.0440384623994772,-0.0329171807586458,"NCAP-SELEX"
"X21","CDX1",13074,22,-0.0441842223798639,-0.0497013007161515,-0.0386671440435762,"NCAP-SELEX"
"X22","CDX1",13074,23,-0.044757896112063,-0.0502547842179685,-0.0392610080061576,"NCAP-SELEX"
"X23","CDX1",13074,24,-0.0550575235363453,-0.0604072570656312,-0.0497077900070593,"NCAP-SELEX"
"X24","CDX1",13074,25,-0.0640184761551521,-0.0692666833577598,-0.0587702689525443,"NCAP-SELEX"
"X25","CDX1",13074,26,-0.0737797879032127,-0.0789191309005158,-0.0686404449059095,"NCAP-SELEX"
"X26","CDX1",13074,27,-0.0819963474226126,-0.0870425805674094,-0.0769501142778158,"NCAP-SELEX"
"X27","CDX1",13074,28,-0.0911119519734297,-0.0961030288198784,-0.086120875126981,"NCAP-SELEX"
"X28","CDX1",13074,29,-0.0972614735988747,-0.102215930074151,-0.0923070171235987,"NCAP-SELEX"
"X29","CDX1",13074,30,-0.100095587567758,-0.105030290173885,-0.0951608849616304,"NCAP-SELEX"
"X30","CDX1",13074,31,-0.103582822179193,-0.108506740094212,-0.0986589042641732,"NCAP-SELEX"
"X31","CDX1",13074,32,-0.105022603284779,-0.10994623999321,-0.100098966576348,"NCAP-SELEX"
"X32","CDX1",13074,33,-0.106658311996788,-0.111563572045264,-0.101753051948311,"NCAP-SELEX"
"X33","CDX1",13074,34,-0.108156120070918,-0.113047073470474,-0.103265166671362,"NCAP-SELEX"
"X34","CDX1",13074,35,-0.108690065117537,-0.113571195792449,-0.103808934442625,"NCAP-SELEX"
"X35","CDX1",13074,36,-0.109376630789963,-0.114248395812831,-0.104504865767095,"NCAP-SELEX"
"X36","CDX1",13074,37,-0.11020453340732,-0.115050027608753,-0.105359039205886,"NCAP-SELEX"
"X37","CDX1",13074,38,-0.110805589308781,-0.115635465485162,-0.105975713132399,"NCAP-SELEX"
"X38","CDX1",13074,39,-0.111738607357451,-0.116562859320488,-0.106914355394415,"NCAP-SELEX"
"X39","CDX1",13074,40,-0.112156838347568,-0.116970932198515,-0.10734274449662,"NCAP-SELEX"
"X40","CDX1",13074,41,-0.112050356284063,-0.116868414600426,-0.107232297967701,"NCAP-SELEX"
"X41","CDX1",13074,42,-0.111414449407899,-0.11623466840455,-0.106594230411249,"NCAP-SELEX"
"X42","CDX1",13074,43,-0.11057386259821,-0.115392137261754,-0.105755587934666,"NCAP-SELEX"
"X43","CDX1",13074,44,-0.109282637691397,-0.114112352168956,-0.104452923213838,"NCAP-SELEX"
"X44","CDX1",13074,45,-0.108102023431955,-0.112935496188987,-0.103268550674923,"NCAP-SELEX"
"X45","CDX1",13074,46,-0.107302152722809,-0.112131948761463,-0.102472356684154,"NCAP-SELEX"
"X46","CDX1",13074,47,-0.106845880555521,-0.111674959608818,-0.102016801502223,"NCAP-SELEX"
"X47","CDX1",13074,48,-0.106683454894062,-0.111511939185453,-0.101854970602672,"NCAP-SELEX"
"X48","CDX1",13074,49,-0.106103966716335,-0.110934615620234,-0.101273317812436,"NCAP-SELEX"
"X49","CDX1",13074,50,-0.10577046923114,-0.110611382476217,-0.100929555986063,"NCAP-SELEX"
"X50","CDX1",13074,51,-0.104372274052106,-0.109230736326297,-0.0995138117779147,"NCAP-SELEX"
"X51","CDX1",13074,52,-0.102747388359897,-0.107618909352727,-0.0978758673670668,"NCAP-SELEX"
"X52","CDX1",13074,53,-0.100841065637895,-0.105722662555508,-0.0959594687202827,"NCAP-SELEX"
"X53","CDX1",13074,54,-0.0990417418547868,-0.103939694064307,-0.0941437896452661,"NCAP-SELEX"
"X54","CDX1",13074,55,-0.097844131934506,-0.102754965253184,-0.0929332986158279,"NCAP-SELEX"
"X55","CDX1",13074,56,-0.0963064323646956,-0.101241473769878,-0.0913713909595133,"NCAP-SELEX"
"X56","CDX1",13074,57,-0.0953104148564851,-0.100255708653525,-0.0903651210594454,"NCAP-SELEX"
"X57","CDX1",13074,58,-0.094029991741361,-0.0989887964645043,-0.0890711870182176,"NCAP-SELEX"
"X58","CDX1",13074,59,-0.0925038877846621,-0.0974720212793712,-0.087535754289953,"NCAP-SELEX"
"X59","CDX1",13074,60,-0.0896866169156827,-0.0946769547035691,-0.0846962791277963,"NCAP-SELEX"
"X60","CDX1",13074,61,-0.0870605226392213,-0.0920742636291906,-0.0820467816492519,"NCAP-SELEX"
"X61","CDX1",13074,62,-0.0838636118043385,-0.088897853983904,-0.0788293696247731,"NCAP-SELEX"
"X62","CDX1",13074,63,-0.0809158419615537,-0.0859783727816833,-0.0758533111414241,"NCAP-SELEX"
"X63","CDX1",13074,64,-0.0779541305630205,-0.0830392901302086,-0.0728689709958324,"NCAP-SELEX"
"X64","CDX1",13074,65,-0.0750351245913043,-0.0801384068354251,-0.0699318423471836,"NCAP-SELEX"
"X65","CDX1",13074,66,-0.0734060506835355,-0.0785142512757818,-0.0682978500912891,"NCAP-SELEX"
"X66","CDX1",13074,67,-0.0714775637940154,-0.0766108010765419,-0.066344326511489,"NCAP-SELEX"
"X67","CDX1",13074,68,-0.0704490210625234,-0.0755752603251817,-0.0653227817998651,"NCAP-SELEX"
"X68","CDX1",13074,69,-0.0693191253582374,-0.0744531280626209,-0.064185122653854,"NCAP-SELEX"
"X69","CDX1",13074,70,-0.0670919525624955,-0.0722422099360058,-0.0619416951889852,"NCAP-SELEX"
"X70","CDX1",13074,71,-0.0647240612716072,-0.0698887518210059,-0.0595593707222084,"NCAP-SELEX"
"X71","CDX1",13074,72,-0.0622119406482519,-0.0674017672151469,-0.0570221140813569,"NCAP-SELEX"
"X72","CDX1",13074,73,-0.0589716245368265,-0.0641953557154007,-0.0537478933582523,"NCAP-SELEX"
"X73","CDX1",13074,74,-0.0568534405618305,-0.0620983932066006,-0.0516084879170604,"NCAP-SELEX"
"X74","CDX1",13074,75,-0.052872769947167,-0.0581531098689532,-0.0475924300253809,"NCAP-SELEX"
