"","X","x","spectrum.density","library","TF","pos"
"1",1,0.025,0.253870699812378,"NCAP-SELEX","CDX1","Region 76-115"
"2",2,0.05,0.357467897187562,"NCAP-SELEX","CDX1","Region 76-115"
"3",3,0.075,0.394130542012317,"NCAP-SELEX","CDX1","Region 76-115"
"4",4,0.1,0.430108758693339,"NCAP-SELEX","CDX1","Region 76-115"
"5",5,0.125,0.388524631463532,"NCAP-SELEX","CDX1","Region 76-115"
"6",6,0.15,0.395561458222317,"NCAP-SELEX","CDX1","Region 76-115"
"7",7,0.175,0.384778707097378,"NCAP-SELEX","CDX1","Region 76-115"
"8",8,0.2,0.397121458933342,"NCAP-SELEX","CDX1","Region 76-115"
"9",9,0.225,0.393753962903036,"NCAP-SELEX","CDX1","Region 76-115"
"10",10,0.25,0.397338997959163,"NCAP-SELEX","CDX1","Region 76-115"
"11",11,0.275,0.395982244353838,"NCAP-SELEX","CDX1","Region 76-115"
"12",12,0.3,0.394951728128927,"NCAP-SELEX","CDX1","Region 76-115"
"13",13,0.325,0.388559680768279,"NCAP-SELEX","CDX1","Region 76-115"
"14",14,0.35,0.388622346143854,"NCAP-SELEX","CDX1","Region 76-115"
"15",15,0.375,0.3879411426328,"NCAP-SELEX","CDX1","Region 76-115"
"16",16,0.4,0.381437818843983,"NCAP-SELEX","CDX1","Region 76-115"
"17",17,0.425,0.379964419144817,"NCAP-SELEX","CDX1","Region 76-115"
"18",18,0.45,0.373237587996197,"NCAP-SELEX","CDX1","Region 76-115"
"19",19,0.475,0.377680206818005,"NCAP-SELEX","CDX1","Region 76-115"
"20",20,0.5,0.367085333072529,"NCAP-SELEX","CDX1","Region 76-115"
"21",21,0.025,0.230449006487546,"Nucleosome-SELEX","CDX1","Region 76-115"
"22",22,0.05,0.322401614615091,"Nucleosome-SELEX","CDX1","Region 76-115"
"23",23,0.075,0.342166410015481,"Nucleosome-SELEX","CDX1","Region 76-115"
"24",24,0.1,0.39507365813593,"Nucleosome-SELEX","CDX1","Region 76-115"
"25",25,0.125,0.354813087383934,"Nucleosome-SELEX","CDX1","Region 76-115"
"26",26,0.15,0.360695209019978,"Nucleosome-SELEX","CDX1","Region 76-115"
"27",27,0.175,0.362918147875222,"Nucleosome-SELEX","CDX1","Region 76-115"
"28",28,0.2,0.348497923677558,"Nucleosome-SELEX","CDX1","Region 76-115"
"29",29,0.225,0.363025447613311,"Nucleosome-SELEX","CDX1","Region 76-115"
"30",30,0.25,0.362051233483213,"Nucleosome-SELEX","CDX1","Region 76-115"
"31",31,0.275,0.355663513929465,"Nucleosome-SELEX","CDX1","Region 76-115"
"32",32,0.3,0.3518012168383,"Nucleosome-SELEX","CDX1","Region 76-115"
"33",33,0.325,0.356008382726817,"Nucleosome-SELEX","CDX1","Region 76-115"
"34",34,0.35,0.373005482322401,"Nucleosome-SELEX","CDX1","Region 76-115"
"35",35,0.375,0.352173855064574,"Nucleosome-SELEX","CDX1","Region 76-115"
"36",36,0.4,0.354546340375828,"Nucleosome-SELEX","CDX1","Region 76-115"
"37",37,0.425,0.358134901654641,"Nucleosome-SELEX","CDX1","Region 76-115"
"38",38,0.45,0.35903336077369,"Nucleosome-SELEX","CDX1","Region 76-115"
"39",39,0.475,0.363412244265092,"Nucleosome-SELEX","CDX1","Region 76-115"
"40",40,0.5,0.367375152711445,"Nucleosome-SELEX","CDX1","Region 76-115"
"41",41,0.025,0.249415282552558,"HT-SELEX","CDX1","Region 76-115"
