"","end_bind_perc","tf"
"16",0.0860731630620873,"TGIF2LY"
"17",0.0819272670605069,"MYBL1"
"18",0.0953354058147836,"MEIS3"
"19",0.11253324675649,"HES2"
"20",0.088744632585271,"TGIF2LX"
"22",0.0969112478756579,"RUNX3"
"28",0.0942347503048521,"THRB"
"39",0.0847097676212516,"NFATC3"
"44",0.450295219059434,"TBX21"
"47",0.110832408606128,"TBX3"
"49",0.0900480129302149,"SOX12"
"51",0.114086199913774,"E2F8"
"59",0.142686600572649,"BHLHB2"
"60",0.082848735317373,"PAX7"
"62",0.118457060490638,"TBX4"
"63",0.10742791748698,"NHLH1"
"65",0.0813370947392297,"OLIG2"
"77",0.0854013605442177,"LEF1"
"79",0.0914056373114361,"MEIS2"
"81",0.109185971786345,"ELF4"
"83",0.111364826896519,"NFATC4"
"84",0.0882121420840303,"PITX3"
"85",0.100763298038614,"MYBL2"
"87",0.0815403774307884,"PITX2"
"88",0.0990136291081734,"BARHL1"
"89",0.100478191326256,"PROX1"
"90",0.105991920713887,"OTX2"
"93",0.144994723352932,"ONECUT2"
"94",0.418354520024078,"HES5"
"96",0.0904763564135624,"PITX1"
"100",0.107862583574527,"FOXA2"
"101",0.163733491900601,"TFAP2B"
"102",0.106625791139241,"DMBX1"
"103",0.105696909290586,"PKNOX2"
"105",0.0997399297214667,"HMBOX1"
"106",0.137240838656948,"IRX5"
"107",0.0947216108753541,"MYOG"
"108",0.104504369109217,"CUX1"
"109",0.0847466983996516,"NFKB2"
"110",0.16861242923336,"USF2"
"112",0.184472541779213,"TFAP2C"
"113",0.09004684422227,"NR3C2"
"114",0.145123850154849,"ELF1"
"116",0.121917576168236,"ELF2"
"117",0.0838381199757505,"GATA2"
"118",0.0959088274109797,"SIX6"
"119",0.0801505574888147,"ESX1"
"120",0.203471364622547,"FEV"
"121",0.098385064102905,"NKX2-3"
"122",0.101993558580135,"FOXB1"
"123",0.108893657711171,"IRF8"
"124",0.0867396691904919,"SRF"
"126",0.0930241533464124,"POU3F4"
"127",0.177855633717864,"MLX"
"129",0.106653021501169,"PAX1"
"131",0.166486140768937,"FLI1"
"133",0.125477220666836,"PAX2"
"135",0.12876504260608,"NFATC2"
"136",0.1699066673542,"ATF3"
"138",0.224443738428335,"ERG"
"139",0.162019409477692,"ATF2"
"140",0.0984990574138121,"RFX4"
"141",0.0961946652677454,"POU2F3"
"142",0.139086069210293,"HSF1"
"143",0.164941610972011,"SOHLH2"
"144",0.0913442203837757,"GATA3"
"145",0.174492845499004,"MAFA"
"146",0.157141240962245,"CREB5"
"147",0.204244114973513,"CREB3L1"
"148",0.0963540181823941,"GATA6"
"149",0.287782346073803,"TFEB"
"150",0.275710573109014,"TCF12"
"151",0.285762818167564,"ETV4"
"153",0.167979368260126,"XBP1"
"154",0.149558179866215,"FIGLA"
"155",0.197334539633934,"CREB3L4"
"156",0.121573774494842,"JUND"
"157",0.117473232061954,"POU1F1"
"158",0.178209995643244,"ELF5"
"159",0.150236141402413,"GLI3"
"160",0.124317238365742,"SPIB"
"161",0.228005070453585,"ZGLP1"
"162",0.110907051639436,"POU4F1"
"163",0.357205352916709,"ETV5"
"164",0.14638350686065,"ZIC1"
"165",0.11564879399393,"RFX2"
"166",0.29733798672415,"TFAP4"
"167",0.350196015910197,"ETV1"
"168",0.254108574210876,"CREB1"
"169",0.123928729692896,"RFX1"
"170",0.125737301043722,"MAF"
"171",0.280330590419558,"CLOCK"
"172",0.269715342277262,"TFE3"
"173",0.238106709680122,"TCF4"
"174",0.118093600294804,"MAFG"
"175",0.213652879706939,"JUND2"
"176",0.205153624886405,"NKX2-4"
"177",0.200079565044424,"CREM"
"179",0.214180500816115,"MYCN"
"180",0.154200999481874,"HSF4"
"181",0.45513216576609,"SREBF2"
"183",0.455047843675827,"ELK3"
"184",0.31417795140646,"CEBPE"
"185",0.127816007444254,"TFEC"
"186",0.331023996742754,"CEBPB"
"187",0.299799325203431,"ZIC4"
"189",0.107791804406186,"RFX3"
"191",0.105974538929531,"DUXA"
