study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB22684	SAMEA104680344	ERX2434830	ERR2394027	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394027/ERR2394027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394027/ERR2394027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394027/HT-SELEX__ligand-lig147__TF-ALX3__cycle-1__batch-FJ45__well-A12__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394027/HT-SELEX__ligand-lig147__TF-ALX3__cycle-1__batch-FJ45__well-A12__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/007/ERR2394027
PRJEB22684	SAMEA104680345	ERX2434831	ERR2394028	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394028/ERR2394028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394028/ERR2394028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394028/HT-SELEX__ligand-lig147__TF-ALX3__cycle-2__batch-FJ45__well-A12__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394028/HT-SELEX__ligand-lig147__TF-ALX3__cycle-2__batch-FJ45__well-A12__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/008/ERR2394028
PRJEB22684	SAMEA104680346	ERX2434832	ERR2394029	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394029/ERR2394029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394029/ERR2394029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394029/HT-SELEX__ligand-lig147__TF-ALX3__cycle-3__batch-FJ45__well-A12__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394029/HT-SELEX__ligand-lig147__TF-ALX3__cycle-3__batch-FJ45__well-A12__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/009/ERR2394029
PRJEB22684	SAMEA104680347	ERX2434833	ERR2394030	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394030/ERR2394030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394030/ERR2394030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394030/HT-SELEX__ligand-lig147__TF-ALX3__cycle-4__batch-FJ45__well-A12__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394030/HT-SELEX__ligand-lig147__TF-ALX3__cycle-4__batch-FJ45__well-A12__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/000/ERR2394030
PRJEB22684	SAMEA104680348	ERX2434834	ERR2394031	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394031/ERR2394031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394031/ERR2394031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394031/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-1__batch-FJ45__well-K5__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394031/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-1__batch-FJ45__well-K5__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/001/ERR2394031
PRJEB22684	SAMEA104680349	ERX2434835	ERR2394032	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394032/ERR2394032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394032/ERR2394032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394032/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-2__batch-FJ45__well-K5__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394032/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-2__batch-FJ45__well-K5__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/002/ERR2394032
PRJEB22684	SAMEA104680350	ERX2434836	ERR2394033	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394033/ERR2394033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394033/ERR2394033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394033/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-3__batch-FJ45__well-K5__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394033/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-3__batch-FJ45__well-K5__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/003/ERR2394033
PRJEB22684	SAMEA104680351	ERX2434837	ERR2394034	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394034/ERR2394034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394034/ERR2394034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394034/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-4__batch-FJ45__well-K5__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394034/HT-SELEX__ligand-lig147__TF-ARGFX__cycle-4__batch-FJ45__well-K5__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/004/ERR2394034
PRJEB22684	SAMEA104680352	ERX2434838	ERR2394035	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394035/ERR2394035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394035/ERR2394035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394035/HT-SELEX__ligand-lig147__TF-ARX__cycle-1__batch-FJ45__well-O3__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394035/HT-SELEX__ligand-lig147__TF-ARX__cycle-1__batch-FJ45__well-O3__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/005/ERR2394035
PRJEB22684	SAMEA104680353	ERX2434839	ERR2394036	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394036/ERR2394036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394036/ERR2394036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394036/HT-SELEX__ligand-lig147__TF-ARX__cycle-2__batch-FJ45__well-O3__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394036/HT-SELEX__ligand-lig147__TF-ARX__cycle-2__batch-FJ45__well-O3__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/006/ERR2394036
PRJEB22684	SAMEA104680354	ERX2434840	ERR2394037	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394037/ERR2394037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394037/ERR2394037_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394037/HT-SELEX__ligand-lig147__TF-ARX__cycle-3__batch-FJ45__well-O3__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394037/HT-SELEX__ligand-lig147__TF-ARX__cycle-3__batch-FJ45__well-O3__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/007/ERR2394037
PRJEB22684	SAMEA104680355	ERX2434841	ERR2394038	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394038/ERR2394038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394038/ERR2394038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394038/HT-SELEX__ligand-lig147__TF-ARX__cycle-4__batch-FJ45__well-O3__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394038/HT-SELEX__ligand-lig147__TF-ARX__cycle-4__batch-FJ45__well-O3__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/008/ERR2394038
PRJEB22684	SAMEA104680356	ERX2434842	ERR2394039	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394039/ERR2394039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394039/ERR2394039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394039/HT-SELEX__ligand-lig147__TF-ATF2__cycle-1__batch-FJ45__well-B2__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394039/HT-SELEX__ligand-lig147__TF-ATF2__cycle-1__batch-FJ45__well-B2__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/009/ERR2394039
PRJEB22684	SAMEA104680357	ERX2434843	ERR2394040	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394040/ERR2394040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394040/ERR2394040_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394040/HT-SELEX__ligand-lig147__TF-ATF2__cycle-2__batch-FJ45__well-B2__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394040/HT-SELEX__ligand-lig147__TF-ATF2__cycle-2__batch-FJ45__well-B2__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/000/ERR2394040
PRJEB22684	SAMEA104680358	ERX2434844	ERR2394041	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394041/ERR2394041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394041/ERR2394041_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394041/HT-SELEX__ligand-lig147__TF-ATF2__cycle-3__batch-FJ45__well-B2__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394041/HT-SELEX__ligand-lig147__TF-ATF2__cycle-3__batch-FJ45__well-B2__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/001/ERR2394041
PRJEB22684	SAMEA104680359	ERX2434845	ERR2394042	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394042/ERR2394042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394042/ERR2394042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394042/HT-SELEX__ligand-lig147__TF-ATF2__cycle-4__batch-FJ45__well-B2__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394042/HT-SELEX__ligand-lig147__TF-ATF2__cycle-4__batch-FJ45__well-B2__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/002/ERR2394042
PRJEB22684	SAMEA104680360	ERX2434846	ERR2394043	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394043/ERR2394043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394043/ERR2394043_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394043/HT-SELEX__ligand-lig147__TF-ATF3__cycle-1__batch-FJ45__well-D13__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394043/HT-SELEX__ligand-lig147__TF-ATF3__cycle-1__batch-FJ45__well-D13__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/003/ERR2394043
PRJEB22684	SAMEA104680361	ERX2434847	ERR2394044	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394044/ERR2394044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394044/ERR2394044_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394044/HT-SELEX__ligand-lig147__TF-ATF3__cycle-2__batch-FJ45__well-D13__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394044/HT-SELEX__ligand-lig147__TF-ATF3__cycle-2__batch-FJ45__well-D13__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/004/ERR2394044
