"","end_bind_perc","tf"
"1",0.0580272410842389,"CDX1"
"3",0.0464106451565421,"MIXL1"
"4",0.0570257174804324,"FOXD3"
"6",0.0428831512744124,"SHOX"
"7",0.0428243574922694,"NKX6-2"
"8",0.053385088471039,"PDX1"
"9",0.0513351967658392,"LBX2"
"10",0.0503840394183856,"MSX2"
"11",0.0423473980578805,"LMX1A"
"12",0.0559057458851794,"MSX1"
"13",0.0533707865168539,"LMX1B"
"15",0.0543293078943158,"EN1"
"21",0.0581978236948282,"FOXI1"
"23",0.0464281700402662,"RAX"
"24",0.0586014872646063,"FOXJ2"
"26",0.0572656669760172,"HOXD9"
"29",0.053958818263205,"SOX18"
"32",0.0585551894452418,"SOX7"
"34",0.057513549281573,"VENTX"
"36",0.0466768138001015,"FOXD2"
"37",0.054441164349574,"SOX10"
"38",0.0488898533896251,"VAX2"
"40",0.0535231319805961,"DLX5"
"41",0.0576901141518456,"HOXA2"
"43",0.0516711729851004,"HOXD4"
"46",0.0580457508992806,"SOX11"
"48",0.0578419155493372,"DLX4"
"54",0.0506158113332279,"EVX1"
"56",0.0478019643615825,"PROP1"
"57",0.0581774440147495,"PRRX1"
"61",0.029308915245683,"RFX5"
"72",0.0547185982287401,"VAX1"
"125",0.054316776806651,"HOXB13"
"130",0.051495981742376,"GSX2"
