tf	ACF	Freq	end_binding	rank	logit
TGIF2LY	0.00473477406679764	0.118358897575722	End binders	TRUE	0.861268404988518
MEIS3	0.00399399285225458	0.566023906922226	End binders	TRUE	0.999859603961237
TGIF2LX	0.004890098810244	0.287025099972206	End binders	TRUE	0.971346716534847
NFATC3	0.00504124384309536	0.660165962933964	End binders	TRUE	0.999548660059218
TBX3	0.00492444133263318	0.523277953812859	End binders	TRUE	0.998175698055371
E2F8	0.0045464925100475	0.20369219143645	End binders	TRUE	0.963471845987192
PAX7	0.00704198340191087	0.311029789775369	End binders	TRUE	0.283799921337345
TBX4	0.00488083443416997	0.353590725917996	End binders	TRUE	0.987242332535154
OLIG2	0.00529133094598627	0.307212845032484	End binders	TRUE	0.947042442888562
MEIS2	0.00475998567078631	0.181269884830655	End binders	TRUE	0.926293957086581
ELF4	0.00479392245895914	0.609711780430042	End binders	TRUE	0.999518160061978
NFATC4	0.00514771114265437	0.616275677000821	End binders	TRUE	0.999030340359553
PITX3	0.00664138943248532	0.274692516940602	End binders	TRUE	0.381585035200114
MYBL2	0.00579617834394904	0.312940496014255	End binders	TRUE	0.863093174929437
PITX2	0.00639344262295082	0.324625142671856	End binders	TRUE	0.660850210896821
BARHL1	0.00717995169082126	0.506873907632073	End binders	TRUE	0.757448829761909
OTX2	0.00641321726772073	0.131592531531146	End binders	TRUE	0.153064145760461
ONECUT2	0.00539667896678967	0.481239608472989	End binders	TRUE	0.991475907638688
HES5	0.00443322109988777	0.572937491116465	End binders	TRUE	0.999660309210253
PITX1	0.0056328036322361	0.201623631529511	End binders	TRUE	0.701596985434605
TFAP2B	0.00445861656831254	0.502835777040687	End binders	TRUE	0.999161853010207
DMBX1	0.00617734724292101	0.569732807869176	End binders	TRUE	0.983810248618381
PKNOX2	0.00449868651488616	0.637657961988354	End binders	TRUE	0.999820580058556
HMBOX1	0.00546263569805605	0.572053641206287	End binders	TRUE	0.996695719151447
IRX5	0.00576137219055812	0.580418712581084	End binders	TRUE	0.994247979764708
MYOG	0.00448076495441405	0.148394132468022	End binders	TRUE	0.939829342081645
CUX1	0.00606569387630502	0.583626660610878	End binders	TRUE	0.989238700793649
NFKB2	0.0042845547309833	0.388275585638956	End binders	TRUE	0.997720432900558
USF2	0.00524918607563236	0.424063753598785	End binders	TRUE	0.987747859444734
TFAP2C	0.00457484798764598	0.654366525976494	End binders	TRUE	0.999826630878825
ELF1	0.00502543428610976	0.554095771412162	End binders	TRUE	0.998429789914143
ELF2	0.00491797722342733	0.390252585018551	End binders	TRUE	0.991078434324102
ESX1	0.00648301574150787	0.534591734500601	End binders	TRUE	0.952973953884524
FEV	0.00568673136049193	0.528310982719101	End binders	TRUE	0.990867125011459
NKX2-3	0.00618892508143323	0.580052680373129	End binders	TRUE	0.985318129369061
SRF	0.0059280430396772	0.223983651134102	End binders	TRUE	0.616581385703536
POU3F4	0.00721861947680809	0.656254921839233	End binders	TRUE	0.945833894826598
MLX	0.00515074809022284	0.494249417111742	End binders	TRUE	0.995744464087209
PAX2	0.00481254163098297	0.57777053368821	End binders	TRUE	0.999261499956465
NFATC2	0.00490854715672677	0.567458858038079	End binders	TRUE	0.998966745272167
POU2F3	0.00699645748987854	0.420009521485911	End binders	TRUE	0.620682411326801
HSF1	0.00552288542585514	0.4140526111655	End binders	TRUE	0.975055933369632
CREB5	0.00547484979537341	0.631440292650523	End binders	TRUE	0.998341986324371
CREB3L1	0.00500391755062681	0.583753358833501	End binders	TRUE	0.998953237938328
TFEB	0.00432084915429755	0.692937773907507	End binders	TRUE	0.999937841702206
TCF12	0.00439976055724859	0.373690191690019	End binders	TRUE	0.996499616062248
ETV4	0.00450192595762893	0.492328345155648	End binders	TRUE	0.998953260959968
XBP1	0.00480749391325878	0.580220970877535	End binders	TRUE	0.99929096791721
CREB3L4	0.00509334415584416	0.551896279887515	End binders	TRUE	0.99812787878794
JUND	0.00427962699932069	0.491672525806049	End binders	TRUE	0.999353116321865
POU1F1	0.00685951617604197	0.56716575326698	End binders	TRUE	0.929141632372546
ELF5	0.00514964788732394	0.46788691232993	End binders	TRUE	0.994170034252464
SPIB	0.00494432661717922	0.212327610839393	End binders	TRUE	0.924189607679239
ETV5	0.0047347705718193	0.616118354280564	End binders	TRUE	0.999608513583438
TFAP4	0.0045123580494322	0.384489118933609	End binders	TRUE	0.996065292749352
ETV1	0.00448431144683324	0.475617777093319	End binders	TRUE	0.998767830558079
CREB1	0.00521720692966811	0.587429513601009	End binders	TRUE	0.998399288326824
RFX1	0.00440815006468305	0.0450539163072609	End binders	TRUE	0.840073184742962
MAF	0.0069053909542681	0.510008905577347	End binders	TRUE	0.855864307722523
CLOCK	0.00493894461404274	0.553057908537828	End binders	TRUE	0.998685405761914
TFE3	0.00516991931736578	0.562702622730193	End binders	TRUE	0.998055562228464
NKX2-4	0.00506609195402299	0.552625598405308	End binders	TRUE	0.998252203333662
HSF4	0.00539268292682927	0.231642945645532	End binders	TRUE	0.851546420535832
SREBF2	0.00479066898853577	0.694963246829882	End binders	TRUE	0.999829313168424
ELK3	0.00538791227917501	0.467734493939805	End binders	TRUE	0.990168579669725
CEBPE	0.00531939806141566	0.42491060933317	End binders	TRUE	0.985871475216705
TFEC	0.00515542077331312	0.356482069229486	End binders	TRUE	0.977664484301558
CEBPB	0.0054905724511627	0.444581744309206	End binders	TRUE	0.983796761484868
DUXA	0.00468604186108519	0.19423112083733	End binders	TRUE	0.945354894167215
CDX1	0.00810472840953497	0.372282352419667	Non-end binders	FALSE	0.0740825808230532
MIXL1	0.00639384535815878	0.190443558319705	Non-end binders	FALSE	0.277593541432585
SHOX	0.00709995379639612	0.321636658432788	Non-end binders	FALSE	0.283919943555012
NKX6-2	0.0112047101449275	0.365396442235269	Non-end binders	FALSE	7.97617278958508e-05
PDX1	0.00818345323741007	0.358112883778768	Non-end binders	FALSE	0.0536394253146508
LBX2	0.00793108258928571	0.249062855803142	Non-end binders	FALSE	0.0257501595262399
MSX2	0.00713946869070209	0.294910065300041	Non-end binders	FALSE	0.208279499291157
LMX1A	0.00723611111111111	0.204655809637447	Non-end binders	FALSE	0.0666328398209431
MSX1	0.00815926892950392	0.286684200449622	Non-end binders	FALSE	0.0245821294487533
LMX1B	0.00838307715266378	0.218777156637316	Non-end binders	FALSE	0.00672647720400373
EN1	0.00734421364985163	0.0980339735943734	Non-end binders	FALSE	0.0152614756324128
FOXI1	0.00620188195038494	0.446409316470242	Non-end binders	FALSE	0.928355257252552
RAX	0.00807478939798644	0.340532997747309	Non-end binders	FALSE	0.0550128881703572
FOXJ2	0.00595719095719096	0.446949067298587	Non-end binders	FALSE	0.957186227862531
HOXD9	0.00867690366007573	0.249919828665738	Non-end binders	FALSE	0.0051403155277768
SOX18	0.00608505887129517	-0.00491949058758713	Non-end binders	FALSE	0.0666808336978884
SOX7	0.0058504034761018	0.2288529530554	Non-end binders	FALSE	0.669282684807455
VENTX	0.00695555555555556	0.308234441134254	Non-end binders	FALSE	0.316664785570784
FOXD2	0.00916014533258804	0.256308588023209	Non-end binders	FALSE	0.00192185937368898
VAX2	0.0090202747765773	0.197342745363462	Non-end binders	FALSE	0.00128265024626455
DLX5	0.00824756888168558	0.344068645654848	Non-end binders	FALSE	0.0398723243613484
HOXA2	0.00715621403912543	0.223158946532054	Non-end binders	FALSE	0.0962261051188251
HOXD4	0.00811965811965812	-0.175493671518087	Non-end binders	FALSE	0.00010280013743819
SOX11	0.00559841534612177	0.0275897938202747	Non-end binders	FALSE	0.236150647628986
DLX4	0.00816446627776072	0.387336594774896	Non-end binders	FALSE	0.0776204522666505
PROP1	0.0075950140535256	0.225165917089342	Non-end binders	FALSE	0.039847295737936
PRRX1	0.00727163461538462	0.301103302219348	Non-end binders	FALSE	0.17486668327441
RFX5	0.00445378151260504	-0.0424421963680854	Non-end binders	FALSE	0.622506599327893
GSX2	0.00869724025974026	0.345778446490242	Non-end binders	FALSE	0.0155032613238772
