samples	W601	ALBN1_CX3CR1_NRCAM
DNA_Rep1_OCT4	4.77693509149598	3.6622773316199
DNA_Rep1_RUNX2	2.57270871351008	2.77668823682162
DNA_Rep1_PAX7	2.50668426498846	2.99272803929658
DNA_Rep1_FOXA1	2.73190637697992	1.4563147310679
DNA_Rep1_GATA4	2.11781889034073	1.78549935621362
DNA_Rep1_CEBPB	2.49777515297181	2.01140799932416
DNA_Rep1_GATA1	1.89934491862611	1.48393556395933
DNA_Rep2_OCT4	5.83734712352229	4.9005001552668
DNA_Rep2_FOXA1	3.56265008924537	2.32278918894686
NCP_Rep1_OCT4	1.394317536839	1.79909942321222
NCP_Rep1_RUNX2	0.260983542921495	0.506519958021077
NCP_Rep1_PAX7	0.0727157130231314	0.0913510647706717
NCP_Rep1_FOXA1	0.335030341042645	0.400261904684103
NCP_Rep1_GATA4	0.0898119748933849	0.214816450875833
NCP_Rep1_CEBPB	0.190735039787423	0.179544402808891
NCP_Rep1_GATA1	0.0700054734926603	0.111305880867802
NCP_Rep2_OCT4	0.43966680205713	1.58587318785295
NCP_Rep2_RUNX2	0.149918400602323	0.380335407324614
NCP_Rep2_PAX7	0.138501698919765	0.564490932014191
NCP_Rep2_FOXA1	0.544236707208283	0.552619384748973
NCP_Rep2_GATA4	0.120495190659902	0.403122006784833
NCP_Rep2_GATA1	0.15602635525842	0.475708039610439
