"","tf","n","dist","avg","low","high","group"
"X0","ALB1",555801,1,-0.212155243314149,-0.21276885174469,-0.211541634883607,"22"
"X1","ALB1",555801,2,-0.221285502160225,-0.221880034179591,-0.220690970140859,"22"
"X2","ALB1",555801,3,-0.207930673425291,-0.208526629377777,-0.207334717472805,"22"
"X3","ALB1",555801,4,-0.187834437460032,-0.18842604785712,-0.187242827062944,"22"
"X4","ALB1",555801,5,-0.205786827371863,-0.206365912334733,-0.205207742408992,"22"
"X5","ALB1",555801,6,-0.195466002839731,-0.196034597810021,-0.194897407869441,"22"
"X6","ALB1",555801,7,-0.171851477566705,-0.172452308950111,-0.171250646183299,"22"
"X7","ALB1",555801,8,-0.183956170173909,-0.184515809539527,-0.183396530808292,"22"
"X8","ALB1",555801,9,-0.174256961310378,-0.174832200109596,-0.173681722511159,"22"
"X9","ALB1",555801,10,-0.119547709799145,-0.120169877498575,-0.118925542099715,"22"
"X10","ALB1",555801,11,-0.0879937843934228,-0.0886579064114304,-0.0873296623754152,"22"
"X11","ALB1",555801,12,-0.00842545461650833,-0.00914553598593348,-0.00770537324708317,"22"
"X12","ALB1",555801,13,-0.00593272028235381,-0.0066518487983266,-0.00521359176638102,"22"
"X13","ALB1",555801,14,0.049081024382638,0.0483502817307499,0.0498117670345261,"22"
"X14","ALB1",555801,15,0.113909656689336,0.113166595618666,0.114652717760006,"22"
"X15","ALB1",555801,16,0.14952940253377,0.148783338213495,0.150275466854045,"22"
"X16","ALB1",555801,17,0.234134491040369,0.233332467645683,0.234936514435056,"22"
"X17","ALB1",555801,18,0.270663663570635,0.269831240152962,0.271496086988308,"22"
"X18","ALB1",555801,19,0.291749394673654,0.290918203686244,0.292580585661063,"22"
"X19","ALB1",555801,20,0.32349254575563,0.322669915375636,0.324315176135623,"22"
"X20","ALB1",555801,21,0.356642001601899,0.355831067108535,0.357452936095264,"22"
"X21","ALB1",555801,22,0.340309131582148,0.339536120535515,0.34108214262878,"22"
"X22","ALB1",555801,23,0.359824958364474,0.359049138564805,0.360600778164143,"22"
"X23","ALB1",555801,24,0.322878894053549,0.322149734772057,0.323608053335041,"22"
"X24","ALB1",555801,25,0.356716336411449,0.356029315361702,0.357403357461195,"22"
"X25","ALB1",555801,26,0.365224001263343,0.364589763875567,0.365858238651119,"22"
"X26","ALB1",555801,27,0.366005173636288,0.365391306850007,0.366619040422569,"22"
"X27","ALB1",555801,28,0.376866956237806,0.376286963557655,0.377446948917958,"22"
"X28","ALB1",555801,29,0.38221805039048,0.381667403729285,0.382768697051675,"22"
"X29","ALB1",555801,30,0.342457587098829,0.341935762422861,0.342979411774797,"22"
"X30","ALB1",555801,31,0.383027934718043,0.382540465832806,0.38351540360328,"22"
"X31","ALB1",555801,32,0.381848207904932,0.381403471218018,0.382292944591846,"22"
"X32","ALB1",555801,33,0.444087715745059,0.443709142421869,0.444466289068248,"22"
"X33","ALB1",555801,34,0.415017888860566,0.414677641864014,0.415358135857118,"22"
"X34","ALB1",555801,35,0.450770849384784,0.450479767253726,0.451061931515841,"22"
"X35","ALB1",555801,36,0.412231493595548,0.411975331171356,0.412487656019739,"22"
"X36","ALB1",555801,37,0.434300780355763,0.434075073860344,0.434526486851182,"22"
"X37","ALB1",555801,38,0.396480667464334,0.396298828892188,0.396662506036481,"22"
"X38","ALB1",555801,39,0.379970631488352,0.379806047028575,0.38013521594813,"22"
"X39","ALB1",555801,40,0.477377680128385,0.477211324828671,0.477544035428099,"22"
"X40","ALB1",555801,41,0.48205195852524,0.481893212881856,0.482210704168623,"22"
"X41","ALB1",555801,42,0.44066967773987,0.44052093974646,0.440818415733281,"22"
"X42","ALB1",555801,43,0.472375917133132,0.472219531600343,0.472532302665921,"22"
"X43","ALB1",555801,44,0.433342244696829,0.433186340735459,0.4334981486582,"22"
"X44","ALB1",555801,45,0.324335719290994,0.32418694169138,0.324484496890608,"22"
"X45","ALB1",555801,46,0.318717611540196,0.318564848370409,0.318870374709982,"22"
"X46","ALB1",555801,47,0.344919311608019,0.344758747047735,0.345079876168303,"22"
"X47","ALB1",555801,48,0.375588111330539,0.375434535766058,0.37574168689502,"22"
"X48","ALB1",555801,49,0.310446933899657,0.310291740594768,0.310602127204546,"22"
"X49","ALB1",555801,50,0.347404717180558,0.347238822342225,0.34757061201889,"22"
"X50","ALB1",555801,51,0.303809178492981,0.303647665009255,0.303970691976708,"22"
"X51","ALB1",555801,52,0.248351798752761,0.248205412570635,0.248498184934888,"22"
"X52","ALB1",555801,53,0.213089205677449,0.212947439466553,0.213230971888346,"22"
"X53","ALB1",555801,54,0.222888179295399,0.222747991105641,0.223028367485156,"22"
"X54","ALB1",555801,55,0.205043949053153,0.204911992083117,0.20517590602319,"22"
"X55","ALB1",555801,56,0.158153067082905,0.158028517875838,0.158277616289971,"22"
"X56","ALB1",555801,57,0.205995664773054,0.205864547746595,0.206126781799512,"22"
"X57","ALB1",555801,58,0.121558781522831,0.12143420531935,0.121683357726312,"22"
"X58","ALB1",555801,59,0.0683389177195894,0.0682128871314614,0.0684649483077173,"22"
"X59","ALB1",555801,60,0.0792723411502345,0.0791368506928437,0.0794078316076253,"22"
